사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
20-Oct,장항선,225,쌍용(나사렛대),58,6,"1,665",171,"2,954",474,"6,134","1,601","5,080","3,835","2,827","2,910","2,660","2,415","3,063","2,657","3,026","3,711","3,017","2,901","3,579","2,722","3,195","3,125","3,455","2,325","3,806","5,580","3,768","4,801","2,320","4,334","1,763","2,893","1,484","2,360","1,071","1,725",690,"1,770",7,238,0,0,0,0,0,0
20-Oct,장항선,226,아산,73,2,645,475,"1,572","1,944","5,428","4,746","4,924","5,378","3,240","3,813","3,049","4,554","3,927","3,392","4,228","4,674","3,865","4,571","5,089","3,560","5,955","4,336","5,120","3,155","6,103","6,979","8,245","5,231","6,077","5,437","3,766","3,144","4,178","2,841","3,081","1,645","1,934","1,384",5,136,0,0,0,0,0,0
20-Oct,장항선,227,배방,82,0,801,208,"1,373",666,"2,058","1,145","2,195","1,569","1,668","1,171","1,206","1,154","1,397","1,200","1,388","1,401","1,616","1,489","1,650","1,177","1,588","1,507","1,474","1,795","2,257","2,741","2,358","2,069","1,374","2,316",890,"1,521",986,"1,536",722,"1,127",438,"1,112",0,0,0,0,0,0,0,0
20-Oct,장항선,228,온양온천,535,1,"1,537",449,"3,277","2,046","6,859","4,018","7,951","7,058","6,849","5,696","5,665","6,819","7,542","10,060","7,416","8,831","9,159","6,774","8,884","6,474","8,574","6,900","7,260","6,512","6,641","6,699","8,173","8,190","3,356","7,031","2,914","4,618","2,225","4,393","1,418","3,233",853,"2,591",2,0,0,0,0,0,0,0
20-Oct,장항선,229,신창(순천향대),344,0,465,79,953,499,"1,960","1,885","1,618","6,347","1,700","3,133","1,746","2,655","2,843","2,718","3,121","2,696","3,294","2,252","3,309","2,196","4,506","2,098","4,935","2,302","3,693","1,886","5,385","2,912","1,811","2,479","1,590","2,278","1,447","1,915",773,"2,275",419,"1,432",2,22,0,0,0,0,0,0
20-Oct,경의선,173,신촌,1,0,192,8,314,717,564,"2,979",529,"5,757",475,"2,125",510,"1,475",529,985,685,"1,601",592,"1,132",836,979,945,757,"1,736",631,"3,036","1,379","3,001","1,326","1,447","1,013","1,209",563,"1,105",214,973,105,470,268,1,38,0,0,0,0,0,0
20-Oct,경의선,174,효창공원앞,3,0,523,204,"1,610","1,801","4,093","4,435","5,782","13,558","3,919","7,996","2,740","3,091","2,666","2,905","2,877","2,712","2,993","2,800","2,923","3,154","3,350","3,194","4,015","3,704","5,786","4,566","11,410","6,386","5,156","4,941","2,976","3,415","2,401","3,166","1,828","3,034",835,"2,103",45,505,0,0,0,0,0,0
20-Oct,경의선,176,서강대,6,0,407,96,"1,607","1,238","2,623","2,870","3,527","6,720","2,414","5,312","2,233","2,886","2,156","2,828","2,502","2,466","2,659","2,791","2,670","3,124","2,809","2,637","3,907","3,015","5,081","3,822","5,854","4,343","3,204","2,818","2,857","1,747","3,478","1,773","3,292","1,282","1,294","1,030",93,224,0,0,0,0,0,0
20-Oct,경의선,178,가좌,0,0,"2,231",241,"6,545","2,912","18,193","3,398","21,715","6,988","10,132","5,910","7,736","4,928","6,781","4,940","7,207","5,149","6,508","6,990","6,301","6,851","6,431","7,316","7,801","8,945","7,763","10,869","7,669","15,336","4,652","14,278","3,260","7,108","2,847","5,534","2,302","5,054",888,"3,540",34,715,0,2,0,0,0,0
20-Oct,경의선,180,수색,0,0,736,345,"1,720","2,493","3,678","4,432","3,533","14,793","2,611","7,788","2,019","3,030","2,078","2,062","2,151","2,126","2,376","2,937","2,324","2,357","2,725","2,143","3,807","2,516","7,442","3,572","11,938","2,967","4,992","2,997","2,783","1,936","2,158","1,339","1,642","1,300",603,813,26,224,0,1,0,0,0,0
20-Oct,경의선,181,화전,0,0,530,254,"1,206",895,"3,137","1,938","3,889","5,094","2,254","2,996","1,962","2,605","2,024","1,935","2,561","2,170","2,485","2,450","2,468","1,958","2,730","2,006","3,201","1,889","4,335","2,475","4,642","2,825","2,127","2,474","1,570","1,702","1,061","1,483",824,"1,803",445,892,22,346,0,0,0,0,0,0
20-Oct,경의선,182,강매,0,0,"1,798",220,"5,023","1,250","15,527","1,147","15,136","3,027","6,622","1,344","4,414","1,306","3,724","1,588","3,629","1,868","3,382","2,266","2,826","2,379","2,709","3,048","2,861","3,993","3,137","5,947","3,345","9,330","1,335","9,412",872,"5,941",802,"4,656",528,"4,289",195,"2,779",9,"1,046",0,3,0,0,0,0
20-Oct,경의선,183,행신,0,0,"3,223",800,"10,925","4,209","35,705","3,973","30,267","8,872","13,443","5,768","9,273","4,300","9,670","5,647","9,412","6,428","8,371","7,446","6,979","6,978","6,854","8,304","9,578","11,324","11,616","16,247","9,624","33,934","5,710","27,354","6,151","12,922","4,156","11,312","4,566","10,183","1,833","6,159",341,"2,202",1,3,0,0,0,0
20-Oct,경의선,184,능곡,1,0,"2,356",358,"5,699","2,126","14,361","2,690","13,777","5,060","7,740","3,105","5,688","2,947","5,133","3,278","5,022","3,745","5,347","3,902","4,394","4,170","4,238","4,831","4,904","5,805","5,713","7,789","5,258","10,739","3,116","9,257","2,221","5,703","1,754","4,968","1,184","4,675",478,"3,182",43,"1,506",0,0,0,0,0,0
20-Oct,경의선,185,곡산,1,0,212,187,721,538,"1,709","1,642","1,384","2,469",859,890,700,660,743,675,739,701,644,717,749,743,"1,067",720,"1,016",905,"1,710","1,008","1,873","1,602",614,"1,008",576,804,439,598,276,506,114,356,10,76,0,0,0,0,0,0
20-Oct,경의선,186,백마,2,1,"3,174","1,216","12,991","2,162","30,882","6,246","23,305","9,926","10,932","4,889","8,260","4,148","7,991","4,042","8,831","5,412","7,392","5,629","7,039","6,212","7,274","6,700","8,450","8,602","8,996","10,924","10,153","22,272","4,465","21,099","3,231","12,069","3,435","11,124","2,776","8,447",893,"7,170",57,"1,518",0,0,0,0,0,0
20-Oct,경의선,187,풍산,1,0,"2,894",319,"8,786","1,574","21,164","3,886","17,327","7,083","9,993","5,247","7,337","4,436","7,102","5,026","7,517","5,536","6,879","5,917","6,954","5,702","7,017","6,621","8,178","7,800","7,783","10,591","7,976","17,050","4,469","14,455","3,909","10,370","4,027","8,713","2,423","6,429",886,"5,916",83,"1,174",0,1,0,0,0,0
20-Oct,경의선,188,일산,6,0,"6,043",964,"18,259","4,310","44,497","6,064","29,543","12,875","15,699","6,561","11,762","5,988","11,752","7,096","12,187","8,629","11,217","9,456","10,610","10,752","11,020","10,726","13,278","14,268","11,047","17,343","11,676","29,946","6,245","33,125","4,653","16,439","3,993","15,353","3,482","12,280","1,171","8,387",225,"2,763",0,3,0,0,0,0
20-Oct,경의선,189,탄현,51,0,"4,686",508,"15,313","2,401","35,361","5,314","22,514","8,379","12,885","5,421","10,348","4,121","9,653","4,781","9,385","6,083","8,460","6,159","8,060","6,935","8,506","8,215","8,915","10,250","9,052","15,195","10,279","23,828","5,310","27,776","4,355","15,245","3,939","11,517","2,948","10,381","1,332","5,905",207,"3,568",0,6,0,0,0,0
20-Oct,경의선,190,야당,27,0,"3,706",341,"11,793","2,427","21,909","4,518","18,310","7,382","9,972","5,634","8,301","4,246","7,711","4,934","7,655","5,396","6,964","5,852","6,687","6,948","7,251","7,656","8,369","8,444","9,320","14,978","8,828","19,603","5,750","18,431","5,035","12,060","5,184","9,536","4,352","8,391","2,023","4,784",436,"2,926",0,8,0,0,0,0
20-Oct,경의선,191,운정,41,0,"3,043",277,"13,414","3,525","26,909","5,771","21,538","9,478","10,561","4,603","8,499","3,871","7,627","4,600","7,745","5,538","7,299","5,685","6,352","6,021","6,675","7,137","8,497","9,427","9,778","12,456","10,068","18,938","4,732","18,724","3,347","10,504","2,688","10,208","1,983","7,827",743,"4,181",105,"2,285",0,2,0,0,0,0
20-Oct,경의선,192,금릉,45,0,"2,457",226,"6,805","2,109","15,801","4,429","11,004","8,923","7,363","4,226","6,022","3,817","6,114","3,676","6,219","3,924","6,112","5,160","5,493","5,027","5,519","5,655","6,358","7,952","8,009","9,670","8,849","12,908","4,439","12,392","3,801","6,255","3,087","5,920","2,413","5,889",812,"4,184",109,"2,040",0,3,0,0,0,0
20-Oct,경의선,193,금촌,64,0,"3,108",259,"8,766","3,780","17,055","9,479","16,450","14,674","10,775","8,124","9,098","6,932","9,572","7,111","10,022","8,311","9,669","9,135","9,094","7,984","9,579","9,483","10,989","11,382","13,055","13,052","14,951","15,853","7,280","15,420","5,547","8,953","4,241","8,189","3,027","5,978",877,"4,924",184,"2,074",0,3,0,0,0,0
20-Oct,경의선,194,월롱,29,0,388,42,664,"2,604","1,763","8,603","2,030","11,936","1,675","4,091","1,603","2,750","2,089","1,768","3,032","3,081","2,805","1,984","2,505","1,615","4,161","1,642","5,421","1,931","8,663","2,284","11,402","2,557","3,864","2,338","3,397","2,034","2,043","1,944",907,"1,835",210,"1,425",10,605,0,0,0,0,0,0
20-Oct,경의선,195,파주,71,0,847,10,"1,256",602,"2,320","2,352","2,404","5,868","1,649","3,723","1,618","2,200","2,247","1,449","2,876","1,944","2,168","2,036","2,274",974,"3,550","1,263","4,972","1,237","5,153","1,357","4,335","1,466","1,214","1,323",901,"1,073",911,867,349,846,197,671,5,259,0,0,0,0,0,0
20-Oct,경의선,196,문산,894,4,"2,870",13,"7,723","2,609","14,455","7,320","13,998","13,109","9,042","6,007","7,507","6,691","7,367","6,796","8,370","8,319","8,600","5,752","8,986","6,794","9,333","9,681","9,743","8,767","11,560","9,520","11,110","13,568","5,076","10,051","3,742","8,654","3,356","6,745","1,771","4,321",376,"5,325",2,"2,650",0,2,0,0,0,0
20-Oct,경의선,197,임진강,0,0,-,0,0,0,0,0,0,0,22,195,90,558,1,1,0,0,0,0,0,0,319,246,295,21,545,123,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-Oct,경의선,198,서울역,3,0,906,10,811,"5,708","2,057","18,209","2,610","36,435","1,451","12,303","1,304","5,858","1,620","4,045","2,381","3,907","2,947","4,262","3,429","3,031","3,865","2,632","6,503","2,349","16,113","5,378","23,083","4,012","10,474","2,827","6,617","2,387","3,557",856,784,118,"1,622",895,1,104,0,2,0,0,0,0
20-Oct,경의선,199,공덕,4,1,481,76,"1,611","1,408","4,274","5,918","4,560","16,456","3,188","7,684","2,741","3,010","3,084","2,803","3,570","2,725","3,797","2,670","3,798","3,077","3,807","2,916","4,739","3,484","7,945","4,785","15,148","6,256","6,683","4,370","4,922","2,542","5,048","2,490","4,128","2,059","1,923","1,222",105,450,0,2,0,0,0,0
20-Oct,경의선,200,홍대입구,6,0,366,40,704,645,"1,321","1,885","1,431","5,444","1,078","4,064","1,085","2,807","1,068","3,026","1,368","3,427","1,716","3,691","1,908","3,638","2,308","3,494","2,897","3,822","4,270","4,348","6,153","5,289","4,270","3,683","3,771","1,936","4,621","1,803","5,536","1,264","2,376","1,097",151,347,0,0,0,0,0,0
20-Oct,경의선,201,디지털미디어시티,3,0,806,433,"2,230","1,915","8,287","2,066","8,079","3,838","4,092","2,542","2,950","1,897","2,982","1,763","3,132","2,251","2,921","2,560","2,757","2,501","3,024","2,697","3,982","3,186","4,775","5,052","5,237","8,502","2,819","7,206","1,834","3,653","1,655","2,927","1,225","3,092",661,"2,095",68,389,0,1,0,0,0,0
20-Oct,경의선,202,김포공항,0,0,-,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-Oct,경의선,203,계양,0,0,-,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-Oct,경의선,204,검암,0,0,-,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-Oct,경춘선,205,신내,3,0,680,605,"1,671","3,510","4,648","3,685","4,487","4,337","2,543","1,419","2,011","1,533","1,747","1,312","1,928","1,269","1,956","1,489","1,845","1,823","2,443","2,215","3,220","2,299","3,720","3,181","3,285","3,857","1,469","3,181",892,"1,643",634,"1,369",574,"1,014",304,712,1,100,0,0,0,0,0,0
20-Oct,경춘선,206,갈매,14,0,"1,409",342,"3,718","1,388","16,034","2,264","9,638","5,005","5,817","1,981","3,640","2,565","2,890","1,826","3,472","2,246","3,347","2,462","3,031","2,921","2,972","3,630","3,872","3,293","3,779","5,632","4,766","9,394","2,378","8,529","1,625","4,718","2,220","2,623","1,541","3,242",697,"1,862",16,630,0,0,0,0,0,0
20-Oct,경춘선,207,별내,46,0,"1,004","1,172","2,360","4,231","9,493","4,036","7,688","5,667","4,540","3,049","3,334","2,459","3,235","2,891","3,518","2,939","3,277","2,703","3,299","3,362","3,908","3,955","5,715","3,646","7,185","5,624","5,435","7,373","2,839","6,905","2,222","4,045","1,968","2,374","1,717","2,225","1,055","1,246",21,302,0,0,0,0,0,0
20-Oct,경춘선,208,퇴계원,13,1,"2,427",561,"5,368","1,872","17,183","3,382","12,894","4,155","8,099","2,295","5,793","2,490","4,678","2,701","4,956","2,960","4,513","3,102","3,633","3,610","4,066","4,823","4,207","5,809","4,883","8,414","5,661","11,849","2,974","10,309","1,803","6,769","1,418","4,133","1,087","4,983",442,"2,460",29,883,0,0,0,0,0,0
20-Oct,경춘선,209,사릉,36,0,"2,150",987,"5,471","2,140","16,671","5,227","12,103","6,787","6,771","2,446","4,903","2,825","4,093","2,655","4,354","2,903","4,230","2,509","3,529","3,431","3,802","3,192","3,841","5,497","5,752","6,360","7,399","11,405","2,967","10,560","1,576","4,957","1,406","5,123",862,"4,438",316,"2,629",21,697,0,0,0,0,0,0
20-Oct,경춘선,210,금곡,9,0,"1,194",295,"2,197",988,"4,774","1,783","4,298","4,170","2,878","1,842","2,693","1,443","2,137","1,498","2,160","1,718","2,262","1,736","1,941","1,869","2,246","2,033","2,095","2,571","2,390","3,143","3,458","3,724","1,254","3,512",725,"1,715",598,"1,677",453,"1,264",227,"1,053",5,260,0,0,0,0,0,0
20-Oct,경춘선,211,평내호평,550,6,"5,033",883,"8,728","2,431","26,250","4,408","17,253","8,795","9,764","6,157","9,026","5,373","7,960","4,882","9,003","6,215","7,243","6,550","7,116","7,601","7,305","7,722","8,016","9,065","8,184","15,134","8,440","17,343","5,019","20,518","3,802","9,244","4,129","8,476","3,062","6,102","1,671","5,655",78,"2,194",0,0,0,0,0,0
20-Oct,경춘선,212,천마산,9,0,924,267,"3,340",669,"6,699","1,682","5,106","1,362","3,904","1,822","3,258","1,851","2,547","1,594","2,901","2,167","2,370","1,981","2,565","2,216","2,077","2,777","2,363","2,849","2,091","3,606","2,051","4,467",944,"4,676",718,"3,202",702,"2,412",413,"1,494",161,"1,133",4,251,0,0,0,0,0,0
20-Oct,경춘선,213,마석,27,2,"1,369",369,"6,231","2,892","14,607","5,649","9,957","6,813","7,417","4,693","6,516","4,595","5,590","4,200","6,376","4,725","5,588","5,620","5,403","5,766","5,505","6,233","6,742","5,445","7,142","8,356","7,896","8,824","3,703","12,364","2,684","6,293","2,135","4,456","1,352","3,718",574,"2,049",21,753,0,0,0,0,0,0
20-Oct,경춘선,214,대성리,0,0,140,52,497,264,993,683,967,"1,353",843,"1,006",958,"1,489","1,335","1,071","1,166","1,178","1,095","1,361","1,279","1,401","1,625","1,088","1,918","1,391","2,094","1,055","1,586",890,757,787,451,553,268,360,120,339,66,211,5,5,0,0,0,0,0,0
20-Oct,경춘선,215,청평,6,0,892,81,"1,881",810,"2,651","1,759","3,619","3,595","2,933","2,929","2,995","3,485","3,632","3,050","3,111","3,156","3,202","2,964","3,439","3,302","3,769","2,788","4,208","3,769","4,396","3,805","3,599","3,241","1,592","3,017",999,"1,767",706,"1,709",416,"1,125",109,985,5,211,0,0,0,0,0,0
20-Oct,경춘선,216,상천,0,0,93,56,240,299,495,338,651,970,490,"1,239",433,"1,703",565,"1,446",625,911,894,508,"1,453",540,"1,769",460,"1,838",477,"1,418",383,709,453,294,319,112,192,96,178,13,129,10,107,0,29,0,0,0,0,0,0
20-Oct,경춘선,217,가평,1,0,634,138,"1,325","1,147","2,225","2,353","3,069","5,203","2,475","4,550","2,711","5,878","3,657","5,712","2,945","6,879","3,362","3,704","4,876","4,655","6,427","3,780","7,637","2,847","7,706","3,057","6,114","3,232","2,642","2,291","1,685","1,631","1,092","1,403",568,"1,150",246,735,26,278,0,0,0,0,0,0
20-Oct,경춘선,218,굴봉산,0,0,57,1,66,45,159,211,216,505,236,533,178,"1,149",242,519,276,555,513,346,716,344,819,289,828,213,626,163,319,226,136,134,47,91,34,68,8,68,7,42,0,13,0,0,0,0,0,0
20-Oct,경춘선,219,백양리,0,0,3,21,15,66,36,212,110,376,70,249,92,517,199,409,180,262,217,219,362,187,498,163,491,117,425,64,294,86,76,77,66,52,50,43,12,29,6,31,1,5,0,0,0,0,0,0
20-Oct,경춘선,220,강촌,0,0,85,15,149,153,314,432,414,"2,359",532,"2,162",446,"2,571",863,"2,809","1,438","1,628","1,378","1,371","2,093","1,022","2,954",918,"3,217",781,"2,808",540,"1,851",643,849,523,438,306,253,268,83,166,32,234,3,30,0,0,0,0,0,0
20-Oct,경춘선,221,김유정,1,0,63,5,170,53,325,468,349,938,265,"1,178",315,"1,827",452,"2,445",741,"1,647","1,125","1,261","1,498","1,148","1,923",934,"1,853",603,"1,806",627,"1,096",471,495,260,230,210,114,163,24,117,22,104,4,23,0,0,0,0,0,0
20-Oct,경춘선,222,남춘천,425,3,"1,246",19,"3,204",755,"3,216","1,984","3,586","3,674","4,155","3,542","3,807","3,431","4,065","6,519","4,069","7,618","5,255","4,249","6,357","4,634","5,855","5,293","5,747","4,217","5,756","6,118","4,355","3,595","3,134","6,673","2,776","3,044","2,345","2,325","1,444","2,523",471,"1,827",3,931,0,0,0,0,0,0
20-Oct,경춘선,223,춘천,263,0,405,4,"1,404",384,"1,373","1,499","1,753","3,720","1,965","3,400","2,118","3,675","2,381","5,098","2,315","4,110","3,327","4,504","4,781","3,047","6,274","3,072","6,965","2,234","5,974","2,575","4,522","1,578","2,536","2,453","1,805","1,158","1,191","1,017",561,964,130,625,4,547,0,0,0,0,0,0
20-Oct,수인선,340,고색,209,2,"1,164",311,"3,480","1,295","7,654","5,779","6,436","9,112","3,694","1,860","2,989","1,601","2,979","1,939","3,002","2,063","2,984","2,313","2,703","2,775","2,853","2,871","3,433","3,973","6,376","4,598","9,273","6,661","3,376","6,446","3,284","4,156","1,848","3,536","1,331","2,911",445,"2,283",18,"1,406",0,1,0,0,0,0
20-Oct,수인선,341,오목천,1,0,375,17,"2,401",890,"4,633","1,984","5,659","4,789","3,724","2,696","3,869","2,473","4,180","2,281","4,703","2,782","4,033","3,593","3,472","2,725","4,182","2,984","5,776","4,307","5,076","3,817","5,593","6,729","2,354","4,523","1,717","2,682","1,314","2,471",977,"3,427",360,"1,945",2,222,0,0,0,0,0,0
20-Oct,수인선,342,어천,0,0,113,1,380,454,805,899,867,984,824,703,966,698,996,692,"1,012",634,955,826,877,871,"1,075",935,"1,210","1,239","1,391","1,033","1,934","1,341",723,931,430,545,275,562,183,526,69,284,0,42,0,0,0,0,0,0
20-Oct,수인선,343,야목,1,0,94,1,171,191,297,192,412,304,343,216,356,279,385,310,420,320,433,324,348,265,402,338,455,414,581,384,477,519,237,368,157,215,87,268,73,208,35,208,1,18,0,1,0,0,0,0
20-Oct,수인선,344,사리,0,0,"1,773",96,"5,438",902,"11,338","1,528","11,331","2,513","6,571","1,533","5,548","1,871","5,567","1,981","5,769","2,740","5,990","3,539","4,884","3,525","4,274","4,802","4,265","6,411","4,768","7,186","4,396","12,495","2,789","9,170","1,702","6,044","1,519","5,894","1,225","5,316",548,"3,952",9,342,0,0,0,0,0,0
20-Oct,수인선,345,달월,0,0,7,33,17,120,79,135,89,315,63,112,91,145,104,111,130,110,90,115,110,113,197,115,181,92,619,105,309,105,85,54,28,20,28,29,20,33,13,30,1,5,0,0,0,0,0,0
20-Oct,수인선,346,월곶,14,0,"1,034",345,"3,198","1,432","8,755","1,900","7,485","2,805","3,991","2,770","3,117","2,368","3,221","2,994","3,447","3,454","3,841","3,329","3,960","3,460","4,088","3,593","4,393","4,216","4,676","5,748","4,654","8,003","3,111","5,222","2,220","3,877","2,233","3,700","1,373","2,769",612,"1,722",4,349,0,0,0,0,0,0
20-Oct,수인선,347,소래포구,8,0,"2,347",384,"5,485","2,157","14,374","3,466","11,085","6,679","6,416","6,653","6,164","10,686","8,402","22,577","11,676","26,166","16,236","18,785","22,507","15,986","24,159","14,234","21,030","12,552","15,645","11,979","11,533","14,796","6,976","10,093","5,614","6,799","5,131","5,885","4,400","4,477","1,999","3,220",30,744,0,0,0,0,0,0
20-Oct,수인선,348,인천논현,3,0,"1,920",558,"5,274","3,760","12,883","7,412","12,394","11,863","7,036","7,367","6,307","5,980","6,952","6,396","7,262","6,661","7,104","8,112","7,292","7,846","7,862","8,653","8,576","9,944","10,865","13,208","12,307","16,973","7,323","11,530","6,245","7,872","6,717","6,312","4,437","4,708","2,594","3,521",14,834,0,0,0,0,0,0
20-Oct,수인선,349,호구포,1,0,"1,329",769,"2,886","4,107","5,952","15,244","6,669","15,535","4,100","3,257","3,293","2,147","3,778","2,519","4,093","2,711","3,821","2,884","3,835","3,158","4,058","3,484","5,037","4,270","11,112","5,485","13,467","6,828","4,618","5,456","5,388","3,777","3,599","3,126","1,629","2,350",971,"2,053",7,407,0,0,0,0,0,0
20-Oct,수인선,350,남동인더스파크,0,0,393,702,771,"2,903",959,"14,847","1,783","16,919","1,251","3,623","1,381","1,603","1,804","1,637","1,673","1,771","2,043","1,935","2,356","1,526","2,998","1,321","3,341","1,302","10,321","1,558","11,602","1,543","4,294","2,144","3,826","1,121","1,755",701,500,442,249,367,0,39,0,0,0,0,0,0
20-Oct,수인선,351,원인재,38,21,"2,786",568,"5,846","2,025","12,848","4,280","13,708","7,275","7,675","4,047","6,295","3,990","6,232","4,739","6,496","5,339","6,880","5,710","5,827","5,993","6,024","6,914","6,254","8,132","7,271","10,701","7,333","14,785","4,691","10,636","3,676","7,621","3,599","7,243","2,691","5,883","1,536","4,407",99,810,1,1,0,0,0,0
20-Oct,수인선,352,연수,2,0,"2,061",870,"5,275","2,252","12,821","4,443","11,359","9,544","5,908","5,557","5,519","4,141","5,949","4,629","6,403","5,611","6,781","5,736","6,352","6,060","6,689","6,390","7,413","7,804","7,841","10,875","8,733","15,102","5,428","10,037","4,611","6,793","5,018","6,283","4,130","4,213","2,455","3,146",47,730,0,0,0,0,0,0
20-Oct,수인선,353,송도,1,0,"1,575",291,"3,502","1,048","8,623","2,049","8,783","3,201","4,057","2,206","3,405","2,710","4,068","2,835","4,532","3,265","4,571","3,285","4,230","3,457","4,010","3,884","4,095","4,894","4,364","6,176","3,983","7,540","2,462","5,579","1,644","3,438","1,297","3,423",959,"2,627",466,"1,764",10,658,0,0,0,0,0,0
20-Oct,수인선,354,인하대,3,0,"2,678",357,"7,607","2,420","18,973","3,837","14,791","9,993","7,653","6,531","6,584","5,144","7,242","4,956","8,180","7,129","8,024","6,504","7,479","6,709","8,322","7,770","10,147","8,897","10,334","13,681","11,030","18,285","5,751","11,112","4,633","8,399","4,403","7,869","3,411","5,756","2,029","3,718",66,"1,130",0,0,0,0,0,0
20-Oct,수인선,355,숭의,18,0,"2,692",641,"4,657","2,448","10,631","7,130","8,859","10,412","5,549","4,258","4,999","3,503","5,118","3,354","5,394","3,843","5,346","4,914","5,160","4,360","5,349","4,462","6,436","5,817","8,441","7,135","8,929","9,161","3,890","6,201","2,285","4,196","2,015","4,556","1,380","2,946",774,"1,874",8,561,0,0,0,0,0,0
20-Oct,수인선,356,신포,4,0,"1,154",218,"1,158",770,"2,547","3,082","2,464","7,751","1,631","2,635","1,514","2,299","2,046","2,420","2,449","2,873","2,634","3,120","3,094","2,759","3,493","2,678","4,571","3,262","4,533","3,392","6,132","4,297","2,608","2,158","2,248","1,428","1,742","1,220","1,122","1,117",542,629,1,181,0,0,0,0,0,0
20-Oct,수인선,357,인천,58,4,588,165,851,938,"1,732","2,553","1,606","3,772","1,258","1,758","1,303","2,411","1,664","4,294","1,927","4,882","2,129","4,567","2,545","4,690","2,752","5,310","3,654","3,966","3,681","3,517","2,777","3,825","1,760","2,887","1,237","1,868","1,070","1,556",543,"1,421",127,885,1,278,0,0,0,0,0,0
20-Oct,경강선,238,판교,13,0,667,22,"1,412","5,187","4,251","9,695","3,268","23,009","2,160","17,902","2,047","7,188","2,601","5,534","2,682","4,180","3,135","4,124","3,640","3,808","5,952","3,609","6,064","3,901","11,293","5,281","19,325","4,778","14,385","3,675","11,861","1,536","8,126","1,338","4,211",925,"1,351",539,2,205,0,0,0,0,0,0
20-Oct,경강선,239,이매,8,0,512,18,"1,291",680,"3,926","1,685","3,126","2,664","1,635","1,371","1,292",862,"1,346","1,209","1,365","1,028","1,337","1,057","1,251","1,088","1,390","1,284","1,494","1,550","2,307","2,246","2,072","2,617","1,256","2,142","1,064","1,003","1,062",919,895,740,448,351,12,107,0,0,0,0,0,0
20-Oct,경강선,240,삼동,0,0,851,115,"3,051",695,"9,984","1,946","12,315","2,084","5,924","1,170","3,441",962,"2,528","1,271","2,456","1,382","2,575","1,598","1,973","1,964","1,961","2,407","2,039","3,407","2,970","4,928","3,007","7,774","1,403","7,736",809,"4,494",665,"3,996",346,"3,196",124,"1,304",4,23,0,0,0,0,0,0
20-Oct,경강선,241,경기광주,0,0,"1,951",266,"11,124","2,138","30,182","4,140","31,172","8,182","16,201","3,909","10,349","3,473","8,939","4,339","9,373","4,907","8,664","6,183","7,393","6,408","6,953","8,329","8,085","10,313","9,621","15,282","8,479","27,193","4,516","24,985","3,012","14,509","2,640","12,140","1,453","7,816",522,"5,801",0,17,0,0,0,0,0,0
20-Oct,경강선,242,초월,1,0,"1,259",66,"4,108",806,"10,839","3,453","12,633","5,068","6,566","1,905","4,265","1,844","3,964","1,778","3,878","1,942","3,825","2,430","3,122","2,551","3,213","3,175","4,228","4,288","4,907","5,227","4,964","9,818","2,376","8,511","1,488","7,420","1,234","4,583",506,"4,574",202,"3,534",0,2,0,0,0,0,0,0
20-Oct,경강선,243,곤지암,1,0,698,118,"1,768","1,297","5,977","4,600","5,608","5,964","3,665","4,270","2,713","3,437","3,031","2,774","3,362","3,177","3,420","2,794","3,391","2,460","4,163","2,858","5,378","3,353","7,335","4,666","6,452","5,395","2,569","5,870","1,460","3,235","1,039","3,403",422,"2,304",188,"1,650",0,0,0,0,0,0,0,0
