사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
20-Oct,2호선,25,잠실나루,3,0,"2,588","1,417","9,969","9,022","34,456","20,523","41,338","33,953","25,594","23,424","19,319","15,975","19,241","14,068","18,781","17,372","18,817","17,656","19,453","16,230","20,113","16,297","24,884","16,515","29,607","22,305","28,159","34,350","13,949","27,067","10,241","15,937","7,468","14,709","5,472","14,239","1,976","8,878",8,123,3,9,0,4,0,0
20-Oct,2호선,26,잠실(송파구청),73,3,"10,998","4,791","40,059","32,377","94,196","65,595","139,059","142,711","101,752","121,810","65,540","79,211","65,062","80,124","73,077","84,204","80,941","88,413","82,104","89,614","92,324","96,950","109,621","107,760","147,264","131,591","187,707","189,591","128,687","130,252","128,931","78,916","102,390","71,180","72,322","66,565","20,368","41,438",72,427,10,22,0,8,0,0
20-Oct,2호선,27,잠실새내,9,0,"4,459",981,"13,652","7,409","47,605","14,600","63,245","23,780","37,613","25,000","24,144","20,051","22,661","21,064","25,424","22,314","25,877","26,336","23,710","27,630","25,166","30,928","29,888","34,285","31,251","48,663","35,331","74,315","25,853","53,808","22,276","30,064","22,000","25,375","22,167","23,854","10,747","13,217",34,"1,209",20,19,0,4,0,0
20-Oct,2호선,28,종합운동장,5,0,"1,632","1,060","5,129","6,258","15,166","12,134","20,708","21,865","15,496","10,858","9,548","7,195","8,773","7,026","9,385","8,630","9,045","10,659","9,317","9,415","10,136","11,647","12,262","15,969","15,999","22,489","16,242","32,814","10,017","17,810","9,366","9,825","17,970","9,180","8,639","9,468","3,082","5,651",10,461,2,4,0,1,0,0
20-Oct,2호선,29,삼성(무역센터),191,0,"4,628","4,524","6,470","40,894","14,365","118,010","18,650","282,475","18,134","211,154","18,806","86,677","28,104","57,854","34,746","51,830","44,202","57,436","53,477","49,850","67,709","44,086","87,269","43,140","156,615","46,046","255,905","51,814","144,234","29,589","97,252","15,541","80,135","12,694","56,023","9,928","13,086","6,939",12,"3,755",5,5,0,8,0,0
20-Oct,2호선,30,선릉,124,6,"4,563","6,016","10,068","37,390","18,432","100,326","27,600","246,775","26,469","193,119","28,958","81,230","38,453","54,861","45,327","50,608","53,915","55,849","62,448","49,319","76,659","42,997","106,628","41,704","159,574","46,353","253,512","50,708","127,236","32,011","77,488","18,819","74,030","15,316","62,784","13,677","19,439","8,635",37,333,8,7,0,1,0,0
20-Oct,2호선,31,역삼,142,1,"3,552","6,564","8,015","39,726","13,130","103,635","21,532","280,902","21,262","237,856","19,590","89,280","26,767","52,595","33,031","46,368","38,794","51,693","46,483","44,952","60,404","40,699","79,607","37,887","155,443","43,133","239,858","48,599","122,033","32,686","68,805","19,048","65,221","14,879","46,198","11,957","15,573","8,326",11,33,6,8,0,0,0,0
20-Oct,2호선,32,강남,168,8,"10,075","10,754","18,331","45,795","33,868","133,646","54,804","289,569","44,289","296,332","42,147","135,038","58,302","99,676","73,311","99,951","89,767","120,630","97,372","103,334","122,743","98,584","142,216","101,373","216,067","125,814","317,292","178,032","199,463","120,029","148,834","56,031","173,262","42,217","175,770","33,292","61,276","23,540",97,125,39,23,1,3,0,0
20-Oct,2호선,33,교대(법원.검찰청),17,1,"2,388","6,664","10,842","24,666","21,651","53,022","30,434","136,358","24,861","124,951","23,466","60,452","28,755","47,898","31,804","44,738","37,445","51,379","45,453","48,561","50,811","43,592","56,369","42,497","86,898","51,904","131,810","64,480","63,270","41,068","46,730","22,049","50,779","18,637","44,693","16,704","14,770","10,707",29,177,2,8,0,3,0,0
20-Oct,2호선,34,서초,24,0,"1,179","4,415","6,509","18,412","12,407","44,099","20,143","110,391","21,512","83,424","16,995","36,160","20,389","25,112","20,925","21,108","25,011","23,416","27,232","21,124","33,308","18,479","37,873","18,554","62,081","20,308","94,365","20,769","42,684","13,711","26,060","8,948","25,870","7,939","17,850","7,435","4,963","4,139",4,13,5,4,0,0,0,0
